assigned_SWT,n_danger_multi,conversion,expected_season,lift,pval,sig_fdr
WH-B,57,0.14035087719298245,0.05627192982456251,2.49415432579886,0.022,False
COL-D,23,0.08695652173913043,0.039347826086956035,2.2099447513812427,0.452,False
COL-A,47,0.14893617021276595,0.06947872340425502,2.1436227224008664,0.068,False
WH-D,112,0.14285714285714285,0.08677232142857134,1.6463446005041946,0.046,False
CH-A,143,0.06293706293706294,0.044157342657342336,1.42529099691188,0.342,False
FH-C,104,0.07692307692307693,0.05712980769230746,1.3464613313136469,0.471,False
WH-A,185,0.12972972972972974,0.0982324324324325,1.3206405106476633,0.156,False
WH-C,112,0.10714285714285714,0.08175446428571434,1.3105444219953029,0.392,False
EH-A,86,0.06976744186046512,0.05462209302325577,1.277275146354445,0.651,False
TH-C,195,0.1076923076923077,0.0872871794871807,1.2337700487632752,0.337,False
COL-F,49,0.10204081632653061,0.08456122448979583,1.206709303728733,0.792,False
AM-D,91,0.12087912087912088,0.10734065934066052,1.1261261261261137,0.752,False
AM-C,29,0.10344827586206896,0.09217241379310245,1.122334455667801,0.999,False
AM-A,82,0.0975609756097561,0.08873780487804912,1.099429670858238,0.886,False
AM-E,176,0.11931818181818182,0.10980397727272721,1.0866471760109706,0.74,False
FH-B,222,0.08108108108108109,0.07652252252252281,1.0595714622086139,0.892,False
EH-E,140,0.05714285714285714,0.06344285714285756,0.9006980409817549,0.921,False
AM-B,156,0.08333333333333333,0.10648397435897487,0.7825903741383943,0.367,False
FH-A,140,0.06428571428571428,0.09177857142857213,0.7004436142890443,0.288,False
EH-D,96,0.041666666666666664,0.06641666666666676,0.6273525721455449,0.427,False
COL-E,44,0.045454545454545456,0.07319318181818137,0.6210215804999262,0.714,False
WCT-A,78,0.0641025641025641,0.10435897435897519,0.6142506142506093,0.258,False
CH-B,63,0.047619047619047616,0.08106349206349381,0.5874290189935256,0.44,False
TH-A,120,0.05,0.08542916666666633,0.5852802028971393,0.18,False
WCT-B,41,0.04878048780487805,0.0892804878048779,0.5463734462505131,0.549,False
TH-B,177,0.03954802259887006,0.07523163841807914,0.5256833884049261,0.058,False
EH-B,79,0.05063291139240506,0.09641139240506282,0.5251756055931228,0.176,False
EH-C,80,0.025,0.049537499999999776,0.504668180671211,0.411,False
COL-B,61,0.01639344262295082,0.08041803278688507,0.20385281826521298,0.048,False
