assigned_SWT,pair,n_days,obs,null_mean,excess,pval,sig_fdr
FH-B,NSW-VIC,233,0.02575107296137339,0.03661802575107296,-0.010866952789699569,0.31,False
FH-B,NSW-QLD,233,0.6523605150214592,0.6122489270386261,0.0401115879828331,0.162,False
FH-B,NSW-SA,233,0.04721030042918455,0.05999999999999962,-0.01278969957081507,0.302,False
FH-B,NSW-WA,233,0.38626609442060084,0.34863519313304736,0.037630901287553475,0.07,False
FH-B,NSW-TAS,233,0.06866952789699571,0.05745493562231736,0.011214592274678345,0.436,False
FH-B,NSW-NT,233,0.0,0.0,0.0,1.0,False
FH-B,VIC-QLD,233,0.07296137339055794,0.06887124463519279,0.004090128755365158,0.88,False
FH-B,VIC-SA,233,0.02145922746781116,0.02796995708154502,-0.006510729613733862,0.618,False
FH-B,VIC-WA,233,0.034334763948497854,0.04502145922746802,-0.01068669527897017,0.432,False
FH-B,VIC-TAS,233,0.02575107296137339,0.02058369098712456,0.00516738197424883,0.566,False
FH-B,VIC-NT,233,0.0,0.0,0.0,1.0,False
FH-B,QLD-SA,233,0.07725321888412018,0.11606437768240352,-0.03881115879828334,0.024,False
FH-B,QLD-WA,233,0.5622317596566524,0.599978540772533,-0.03774678111588059,0.16,False
FH-B,QLD-TAS,233,0.11158798283261803,0.07840343347639471,0.03318454935622332,0.046,False
FH-B,QLD-NT,233,0.0,0.005523605150214611,-0.005523605150214611,0.51,False
FH-B,SA-WA,233,0.055793991416309016,0.09890987124463536,-0.04311587982832635,0.006,False
FH-B,SA-TAS,233,0.05150214592274678,0.02523605150214596,0.026266094420600822,0.002,False
FH-B,SA-NT,233,0.0,0.0,0.0,1.0,False
FH-B,WA-TAS,233,0.06437768240343347,0.050716738197424886,0.013660944206008586,0.264,False
FH-B,WA-NT,233,0.0,0.005274678111587996,-0.005274678111587996,0.552,False
FH-B,TAS-NT,233,0.0,0.0,0.0,1.0,False
TH-C,NSW-VIC,280,0.175,0.13756785714285732,0.037432142857142664,0.01,False
TH-C,NSW-QLD,280,0.5214285714285715,0.5282678571428558,-0.006839285714284382,0.824,False
