assigned_SWT,pair,n_days,obs,null_mean,excess,pval,sig_fdr
FH-B,NSW-VIC,222,0.4774774774774775,0.33022972972972986,0.14724774774774763,0.0,True
FH-B,NSW-QLD,222,0.25225225225225223,0.242193693693694,0.010058558558558223,0.728,False
FH-B,NSW-SA,222,0.36936936936936937,0.287698198198198,0.0816711711711714,0.0,True
FH-B,NSW-WA,222,0.06306306306306306,0.11209459459459463,-0.04903153153153157,0.004,True
FH-B,NSW-TAS,222,0.1891891891891892,0.1654954954954955,0.0236936936936937,0.264,False
FH-B,NSW-NT,222,0.15765765765765766,0.19096846846846866,-0.033310810810811,0.134,False
FH-B,VIC-QLD,222,0.1891891891891892,0.13721171171171187,0.05197747747747733,0.002,True
FH-B,VIC-SA,222,0.481981981981982,0.3264909909909907,0.15549099099099128,0.0,True
FH-B,VIC-WA,222,0.0990990990990991,0.10620270270270249,-0.0071036036036033895,0.806,False
FH-B,VIC-TAS,222,0.2972972972972973,0.24562162162162146,0.05167567567567585,0.048,False
FH-B,VIC-NT,222,0.15315315315315314,0.1489054054054053,0.004247747747747832,0.864,False
FH-B,QLD-SA,222,0.16666666666666666,0.1575765765765766,0.00909009009009007,0.722,False
FH-B,QLD-WA,222,0.02252252252252252,0.10901351351351364,-0.08649099099099111,0.0,True
FH-B,QLD-TAS,222,0.04954954954954955,0.06899099099099104,-0.01944144144144149,0.186,False
FH-B,QLD-NT,222,0.16216216216216217,0.24886936936936946,-0.08670720720720729,0.0,True
FH-B,SA-WA,222,0.08558558558558559,0.14185585585585586,-0.056270270270270276,0.002,True
FH-B,SA-TAS,222,0.22072072072072071,0.19003153153153143,0.03068918918918928,0.184,False
FH-B,SA-NT,222,0.15315315315315314,0.18724324324324335,-0.0340900900900902,0.112,False
FH-B,WA-TAS,222,0.06756756756756757,0.10596396396396389,-0.03839639639639632,0.054,False
FH-B,WA-NT,222,0.04504504504504504,0.17566666666666672,-0.13062162162162166,0.0,True
FH-B,TAS-NT,222,0.08108108108108109,0.10545945945945938,-0.024378378378378293,0.182,False
TH-C,NSW-VIC,195,0.39487179487179486,0.3016461538461543,0.09322564102564057,0.0,True
TH-C,NSW-QLD,195,0.14871794871794872,0.21004615384615466,-0.06132820512820594,0.012,True
TH-C,NSW-SA,195,0.28205128205128205,0.2844769230769239,-0.002425641025641856,0.986,False
TH-C,NSW-WA,195,0.06153846153846154,0.10230769230769324,-0.040769230769231696,0.036,False
TH-C,NSW-TAS,195,0.24615384615384617,0.17395897435897512,0.07219487179487105,0.0,True
TH-C,NSW-NT,195,0.12307692307692308,0.1605230769230777,-0.03744615384615463,0.092,False
TH-C,VIC-QLD,195,0.10256410256410256,0.10895897435897524,-0.006394871794872678,0.854,False
TH-C,VIC-SA,195,0.4512820512820513,0.34508717948718,0.1061948717948713,0.0,True
TH-C,VIC-WA,195,0.07179487179487179,0.09196410256410333,-0.020169230769231536,0.362,False
TH-C,VIC-TAS,195,0.47692307692307695,0.2852717948717953,0.19165128205128162,0.0,True
TH-C,VIC-NT,195,0.1794871794871795,0.12955897435897534,0.049928205128204145,0.008,True
TH-C,QLD-SA,195,0.06153846153846154,0.14911794871794956,-0.08757948717948802,0.0,True
TH-C,QLD-WA,195,0.015384615384615385,0.10693333333333421,-0.09154871794871883,0.0,True
TH-C,QLD-TAS,195,0.08717948717948718,0.07025128205128282,0.01692820512820435,0.318,False
TH-C,QLD-NT,195,0.09743589743589744,0.23462051282051372,-0.1371846153846163,0.0,True
TH-C,SA-WA,195,0.09743589743589744,0.14664615384615456,-0.04921025641025713,0.024,False
TH-C,SA-TAS,195,0.3128205128205128,0.20649743589743677,0.10632307692307605,0.0,True
TH-C,SA-NT,195,0.17435897435897435,0.18201025641025742,-0.00765128205128307,0.818,False
TH-C,WA-TAS,195,0.06153846153846154,0.08983076923077003,-0.02829230769230849,0.164,False
TH-C,WA-NT,195,0.06666666666666667,0.17649230769230856,-0.10982564102564189,0.0,True
TH-C,TAS-NT,195,0.14871794871794872,0.10533846153846237,0.04337948717948635,0.044,False
WCT-B,NSW-VIC,41,0.24390243902439024,0.24890243902439013,-0.004999999999999893,1.0,False
WCT-B,NSW-QLD,41,0.17073170731707318,0.17604878048780392,-0.005317073170730741,1.0,False
WCT-B,NSW-SA,41,0.2682926829268293,0.2041219512195114,0.06417073170731788,0.26,False
WCT-B,NSW-WA,41,0.04878048780487805,0.08241463414634102,-0.03363414634146297,0.574,False
WCT-B,NSW-TAS,41,0.024390243902439025,0.11392682926829228,-0.08953658536585327,0.052,False
WCT-B,NSW-NT,41,0.0975609756097561,0.11434146341463375,-0.016780487804877647,0.978,False
WCT-B,VIC-QLD,41,0.0975609756097561,0.07563414634146269,0.02192682926829341,0.734,False
WCT-B,VIC-SA,41,0.3902439024390244,0.26595121951219536,0.12429268292682905,0.04,False
WCT-B,VIC-WA,41,0.04878048780487805,0.07285365853658475,-0.0240731707317067,0.794,False
WCT-B,VIC-TAS,41,0.0975609756097561,0.2176097560975604,-0.12004878048780429,0.054,False
WCT-B,VIC-NT,41,0.07317073170731707,0.08436585365853612,-0.01119512195121905,1.0,False
WCT-B,QLD-SA,41,0.34146341463414637,0.11797560975609725,0.22348780487804912,0.0,True
WCT-B,QLD-WA,41,0.024390243902439025,0.10002439024390211,-0.0756341463414631,0.156,False
WCT-B,QLD-TAS,41,0.0,0.03843902439024331,-0.03843902439024331,0.338,False
WCT-B,QLD-NT,41,0.2682926829268293,0.21231707317073112,0.055975609756098166,0.482,False
WCT-B,SA-WA,41,0.12195121951219512,0.12412195121951172,-0.0021707317073166033,1.0,False
WCT-B,SA-TAS,41,0.0975609756097561,0.14319512195121878,-0.04563414634146268,0.47,False
WCT-B,SA-NT,41,0.2926829268292683,0.1396829268292676,0.15300000000000066,0.012,True
WCT-B,WA-TAS,41,0.024390243902439025,0.09117073170731665,-0.06678048780487764,0.172,False
WCT-B,WA-NT,41,0.0975609756097561,0.16790243902438942,-0.07034146341463332,0.288,False
WCT-B,TAS-NT,41,0.024390243902439025,0.06265853658536491,-0.038268292682925885,0.462,False
WH-A,NSW-VIC,185,0.3783783783783784,0.28432972972972953,0.09404864864864887,0.0,True
WH-A,NSW-QLD,185,0.1783783783783784,0.20176756756756742,-0.02338918918918903,0.396,False
WH-A,NSW-SA,185,0.35135135135135137,0.2682324324324327,0.08311891891891865,0.002,True
WH-A,NSW-WA,185,0.0972972972972973,0.1009891891891891,-0.0036918918918917992,0.972,False
WH-A,NSW-TAS,185,0.1945945945945946,0.15359999999999982,0.040994594594594785,0.058,False
WH-A,NSW-NT,185,0.1945945945945946,0.15542702702702682,0.039167567567567785,0.082,False
WH-A,VIC-QLD,185,0.0918918918918919,0.10474054054054047,-0.01284864864864857,0.562,False
