assigned_SWT,n_days,n_fire,n_multi,p_multi,sync,RR_mean,CI_low,CI_high,pval,sig_fdr
FH-B,579,333,222,0.38341968911917096,0.6666666666666666,2.131131637015601,1.7759999999999998,2.5517241379310343,0.0,True
TH-B,608,298,177,0.2911184210526316,0.5939597315436241,1.6210648961314174,1.3615384615384616,1.9666666666666668,0.0,True
TH-C,658,338,195,0.29635258358662614,0.5769230769230769,1.6187655354216008,1.3636363636363635,1.911764705882353,0.0,True
FH-A,509,224,140,0.275049115913556,0.625,1.5192589463228003,1.25,1.891891891891892,0.0,True
AM-E,689,324,176,0.25544267053701014,0.5432098765432098,1.3980592276569328,1.1972789115646258,1.6296296296296295,0.0,True
WH-A,746,323,185,0.2479892761394102,0.5727554179566563,1.3569233453551186,1.1635220125786163,1.6086956521739129,0.0,True
EH-E,588,295,140,0.23809523809523808,0.4745762711864407,1.317481680622547,1.1021468996062993,1.6091954022988506,0.002,True
WH-D,482,189,112,0.23236514522821577,0.5925925925925926,1.2894484655388627,1.0664150943396227,1.6,0.01,True
EH-D,446,189,96,0.21524663677130046,0.5079365079365079,1.2084518507033584,0.979591836734694,1.5,0.1,False
WH-C,515,205,112,0.2174757281553398,0.5463414634146342,1.2044690957445194,0.9824561403508772,1.4545454545454546,0.086,False
CH-A,663,286,143,0.21568627450980393,0.5,1.1866851850553382,1.0,1.4019607843137256,0.054,False
AM-B,723,315,156,0.2157676348547718,0.49523809523809526,1.1855405549855949,1.006451612903226,1.3928571428571428,0.04,False
FH-C,522,186,104,0.19923371647509577,0.5591397849462365,1.1004023841499553,0.896551724137931,1.3333333333333333,0.402,False
WCT-A,399,148,78,0.19548872180451127,0.527027027027027,1.0821225947919155,0.8571428571428572,1.3928571428571428,0.624,False
COL-A,299,117,47,0.15719063545150502,0.4017094017094017,0.892630897152327,0.6911764705882354,1.175,0.406,False
TH-A,777,269,120,0.15444015444015444,0.44609665427509293,0.844262261991746,0.7272727272727272,0.975609756097561,0.034,False
AM-A,548,159,82,0.14963503649635038,0.5157232704402516,0.8278768218459368,0.689075630252101,1.0123456790123457,0.072,False
COL-B,413,124,61,0.14769975786924938,0.49193548387096775,0.8244237237178235,0.6703296703296704,1.0166666666666668,0.094,False
EH-C,539,187,80,0.14842300556586271,0.42780748663101603,0.8228608495803085,0.6779661016949152,1.0126582278481011,0.07,False
AM-D,635,238,91,0.14330708661417324,0.38235294117647056,0.7874030935208196,0.6689955452984113,0.9285714285714286,0.01,True
EH-A,609,213,86,0.1412151067323481,0.40375586854460094,0.7773309730677684,0.6466165413533834,0.945054945054945,0.02,True
EH-B,592,203,79,0.13344594594594594,0.3891625615763547,0.7361429714203312,0.6076923076923076,0.8977272727272727,0.006,True
COL-F,401,123,49,0.12219451371571072,0.3983739837398374,0.6803139296198948,0.5444444444444444,0.8596491228070176,0.006,True
WH-B,513,134,57,0.1111111111111111,0.4253731343283582,0.6112581463530896,0.504424778761062,0.75,0.0,True
WCT-B,430,106,41,0.09534883720930233,0.3867924528301887,0.5331653034406445,0.42697326030927835,0.6612903225806451,0.0,True
CH-B,684,157,63,0.09210526315789473,0.4012738853503185,0.5066617079934288,0.43150684931506844,0.6057692307692308,0.0,True
COL-E,483,119,44,0.09109730848861283,0.3697478991596639,0.5046637212206329,0.4150943396226415,0.6285714285714286,0.0,True
COL-D,332,65,23,0.06927710843373494,0.35384615384615387,0.3882166212624482,0.30666666666666664,0.5,0.0,True
AM-C,587,116,29,0.049403747870528106,0.25,0.2727769026812616,0.22834645669291337,0.3333333333333333,0.0,True
COL-C,467,78,16,0.034261241970021415,0.20512820512820512,0.18842887614302067,0.1538095238095238,0.23529411764705885,0.0,True
