assigned_SWT,n_days,n_fire,n_multi,p_multi,sync,RR_mean,CI_low,CI_high,pval,sig_fdr
WH-A,746,508,323,0.43297587131367293,0.6358267716535433,1.1737996549513612,1.0521172638436482,1.3131421105027374,0.0,True
TH-C,658,451,280,0.425531914893617,0.6208425720620843,1.1553283433943689,1.0256410256410255,1.308411214953271,0.022,False
FH-B,579,407,233,0.40241796200345425,0.5724815724815725,1.1425392618902868,1.0086580086580088,1.308988764044944,0.04,False
EH-E,588,342,191,0.32482993197278914,0.5584795321637427,1.0777178757064538,0.9454281080817443,1.2483660130718954,0.338,False
CH-A,663,350,191,0.28808446455505277,0.5457142857142857,1.0758061516170214,0.9271844660194174,1.2483660130718954,0.384,False
AM-E,689,568,414,0.6008708272859217,0.7288732394366197,1.059900728598121,0.9672897196261682,1.1564245810055866,0.244,False
TH-A,777,513,286,0.3680823680823681,0.557504873294347,1.0334358824948766,0.9315204746393673,1.1627202588352412,0.586,False
AM-B,723,586,406,0.5615491009681881,0.6928327645051194,1.029569326549497,0.9441860465116279,1.1277777777777778,0.564,False
WH-C,515,337,196,0.38058252427184464,0.5816023738872403,1.0183268001373866,0.882882882882883,1.1738294495346653,0.85,False
FH-C,522,289,156,0.2988505747126437,0.5397923875432526,1.0151871619625157,0.8762820915196786,1.2000000000000002,0.966,False
COL-E,483,287,169,0.3498964803312629,0.5888501742160279,1.0150469396119866,0.8622448979591837,1.1818181818181817,0.942,False
COL-F,401,231,131,0.3266832917705736,0.5670995670995671,1.0081399181105342,0.8506493506493507,1.1909090909090911,0.974,False
AM-D,635,498,351,0.552755905511811,0.7048192771084337,1.0044479931641483,0.9140625,1.1107594936708862,1.0,False
EH-A,609,314,146,0.23973727422003285,0.46496815286624205,0.9998906072337455,0.8538011695906432,1.1587301587301586,0.984,False
AM-A,548,452,301,0.5492700729927007,0.665929203539823,0.9967305352091189,0.8985074626865671,1.1025641025641024,0.95,False
COL-D,332,176,91,0.2740963855421687,0.5170454545454546,0.9816884021181267,0.8053097345132743,1.213743243243243,0.784,False
EH-B,592,442,278,0.46959459459459457,0.6289592760180995,0.976170789852999,0.8796774547777823,1.094488188976378,0.688,False
WH-B,513,304,169,0.32943469785575047,0.555921052631579,0.9755719725512836,0.8492462311557788,1.1268557046979863,0.714,False
COL-C,467,330,227,0.4860813704496788,0.6878787878787879,0.9687105348396359,0.8470149253731343,1.091477958937198,0.612,False
TH-B,608,385,185,0.3042763157894737,0.4805194805194805,0.9686339291629834,0.8525345622119815,1.121212121212121,0.628,False
AM-C,587,478,312,0.5315161839863713,0.6527196652719666,0.9617945179201418,0.8642659279778393,1.0685849456291483,0.436,False
CH-B,684,428,251,0.3669590643274854,0.5864485981308412,0.956857442108791,0.8479729729729729,1.0726495726495726,0.436,False
EH-D,446,275,147,0.3295964125560538,0.5345454545454545,0.9553844818258402,0.8258426966292135,1.1136363636363635,0.542,False
COL-B,413,238,127,0.3075060532687651,0.5336134453781513,0.934762564375906,0.7838303794592137,1.1140350877192982,0.408,False
FH-A,509,313,171,0.33595284872298625,0.5463258785942492,0.9317675069116084,0.8104265402843603,1.0687499999999999,0.34,False
WH-D,482,298,161,0.33402489626556015,0.540268456375839,0.9285948196002445,0.805,1.073513422818792,0.324,False
EH-C,539,304,127,0.23562152133580705,0.41776315789473684,0.8746378620785347,0.7470588235294117,1.04119868581493,0.112,False
WCT-A,399,240,139,0.3483709273182957,0.5791666666666667,0.8680076084083035,0.7513513513513513,1.0,0.06,False
COL-A,299,167,86,0.28762541806020064,0.5149700598802395,0.8592391532451893,0.7107438016528926,1.0364604760505434,0.126,False
WCT-B,430,259,144,0.33488372093023255,0.555984555984556,0.8565122672422113,0.7422680412371134,0.993103448275862,0.044,False
