time,assigned_SWT
1952-01-01,WH-A
1952-01-02,TH-A
1952-01-03,FH-A
1952-01-04,WCT-A
1952-01-05,WCT-A
1952-01-06,COL-B
1952-01-07,COL-C
1952-01-08,COL-E
1952-01-09,TH-C
1952-01-10,TH-C
1952-01-11,WH-C
1952-01-12,TH-A
1952-01-13,WH-A
1952-01-14,AM-B
1952-01-15,AM-B
1952-01-16,AM-A
1952-01-17,AM-B
1952-01-18,AM-E
1952-01-19,AM-C
1952-01-20,AM-D
1952-01-21,AM-E
1952-01-22,AM-C
1952-01-23,AM-D
1952-01-24,AM-E
1952-01-25,AM-B
1952-01-26,AM-B
1952-01-27,AM-B
1952-01-28,AM-B
1952-01-29,AM-B
1952-01-30,WH-A
1952-01-31,WH-B
1952-02-01,COL-E
1952-02-02,AM-B
1952-02-03,AM-B
1952-02-04,TH-C
1952-02-05,TH-C
1952-02-06,TH-C
1952-02-07,AM-B
1952-02-08,TH-A
1952-02-09,AM-D
1952-02-10,AM-E
1952-02-11,CH-B
1952-02-12,CH-B
1952-02-13,EH-B
1952-02-14,TH-A
1952-02-15,TH-A
1952-02-16,AM-E
1952-02-17,AM-A
1952-02-18,AM-B
1952-02-19,AM-E
1952-02-20,AM-C
1952-02-21,AM-A
1952-02-22,AM-C
1952-02-23,AM-A
1952-02-24,AM-C
1952-02-25,AM-A
1952-02-26,AM-C
1952-02-27,AM-C
1952-02-28,CH-B
1952-02-29,AM-B
1952-03-01,AM-A
1952-03-02,CH-B
1952-03-03,CH-B
1952-03-04,CH-B
1952-03-05,CH-B
1952-03-06,EH-C
1952-03-07,TH-A
1952-03-08,CH-B
1952-03-09,EH-B
1952-03-10,COL-C
1952-03-11,COL-C
1952-03-12,WH-B
1952-03-13,WH-B
1952-03-14,COL-E
1952-03-15,EH-A
1952-03-16,EH-C
1952-03-17,TH-A
1952-03-18,TH-A
1952-03-19,COL-B
1952-03-20,WH-B
1952-03-21,WH-B
1952-03-22,COL-E
1952-03-23,WH-B
1952-03-24,COL-E
1952-03-25,EH-E
1952-03-26,CH-A
1952-03-27,EH-C
1952-03-28,TH-B
1952-03-29,TH-C
1952-03-30,TH-C
1952-03-31,WH-A
1952-04-01,AM-B
1952-04-02,AM-B
1952-04-03,CH-B
1952-04-04,TH-A
1952-04-05,CH-B
1952-04-06,EH-B
1952-04-07,FH-B
1952-04-08,TH-C
1952-04-09,TH-C
1952-04-10,TH-A
1952-04-11,CH-B
1952-04-12,COL-C
1952-04-13,WCT-B
1952-04-14,WCT-B
1952-04-15,WCT-B
1952-04-16,WH-A
1952-04-17,WH-B
1952-04-18,WH-B
1952-04-19,COL-F
1952-04-20,FH-C
1952-04-21,FH-C
1952-04-22,FH-A
1952-04-23,WH-B
1952-04-24,COL-E
1952-04-25,COL-E
1952-04-26,WH-A
1952-04-27,WH-A
1952-04-28,WH-B
1952-04-29,EH-D
1952-04-30,COL-E
1952-05-01,COL-F
1952-05-02,TH-A
1952-05-03,TH-A
1952-05-04,WCT-A
1952-05-05,TH-B
1952-05-06,FH-B
1952-05-07,TH-C
1952-05-08,TH-C
1952-05-09,WH-C
1952-05-10,EH-E
1952-05-11,EH-A
1952-05-12,EH-A
1952-05-13,EH-C
1952-05-14,TH-B
1952-05-15,FH-A
1952-05-16,WH-D
1952-05-17,COL-A
1952-05-18,WH-D
1952-05-19,WH-C
1952-05-20,COL-E
1952-05-21,FH-C
1952-05-22,FH-C
1952-05-23,COL-B
1952-05-24,COL-D
1952-05-25,COL-E
1952-05-26,COL-F
1952-05-27,COL-F
1952-05-28,FH-B
1952-05-29,WH-C
1952-05-30,WH-D
1952-05-31,WH-C
1952-06-01,WH-C
1952-06-02,WH-D
1952-06-03,EH-D
1952-06-04,COL-A
1952-06-05,COL-A
1952-06-06,WH-C
1952-06-07,CH-A
1952-06-08,CH-A
1952-06-09,EH-E
1952-06-10,FH-C
1952-06-11,EH-C
1952-06-12,COL-B
1952-06-13,EH-B
1952-06-14,COL-D
1952-06-15,COL-D
1952-06-16,COL-C
1952-06-17,COL-A
1952-06-18,COL-D
1952-06-19,COL-D
1952-06-20,EH-D
1952-06-21,WH-B
1952-06-22,EH-D
1952-06-23,EH-D
1952-06-24,WH-C
1952-06-25,EH-D
1952-06-26,EH-E
1952-06-27,FH-C
1952-06-28,WH-C
1952-06-29,COL-E
1952-06-30,EH-E
1952-07-01,TH-B
1952-07-02,FH-B
1952-07-03,WH-D
1952-07-04,WH-C
1952-07-05,WH-C
1952-07-06,COL-E
1952-07-07,TH-A
1952-07-08,TH-A
1952-07-09,EH-C
1952-07-10,COL-A
1952-07-11,FH-B
1952-07-12,TH-C
1952-07-13,TH-C
1952-07-14,COL-C
1952-07-15,TH-C
1952-07-16,COL-C
1952-07-17,WH-C
1952-07-18,COL-E
1952-07-19,EH-C
1952-07-20,WCT-B
1952-07-21,FH-C
1952-07-22,EH-D
1952-07-23,EH-A
1952-07-24,EH-A
1952-07-25,EH-A
1952-07-26,EH-A
1952-07-27,EH-C
1952-07-28,TH-B
1952-07-29,TH-C
1952-07-30,WH-A
1952-07-31,EH-B
1952-08-01,TH-A
1952-08-02,TH-A
1952-08-03,COL-D
1952-08-04,EH-A
1952-08-05,EH-A
1952-08-06,COL-D
1952-08-07,COL-F
1952-08-08,FH-B
1952-08-09,FH-B
1952-08-10,WH-D
1952-08-11,CH-A
1952-08-12,EH-A
1952-08-13,CH-B
1952-08-14,EH-A
1952-08-15,EH-C
1952-08-16,EH-C
1952-08-17,FH-A
1952-08-18,FH-B
1952-08-19,WH-C
1952-08-20,COL-A
1952-08-21,FH-A
1952-08-22,WH-D
1952-08-23,WH-C
1952-08-24,WH-B
1952-08-25,COL-E
1952-08-26,COL-E
1952-08-27,EH-E
1952-08-28,TH-A
1952-08-29,WH-A
1952-08-30,WCT-A
1952-08-31,WCT-A
1952-09-01,WCT-A
1952-09-02,WCT-A
1952-09-03,WCT-A
1952-09-04,COL-A
1952-09-05,EH-D
1952-09-06,FH-C
1952-09-07,FH-C
1952-09-08,WH-C
1952-09-09,COL-E
1952-09-10,COL-E
1952-09-11,COL-F
1952-09-12,COL-E
1952-09-13,WCT-A
1952-09-14,COL-A
1952-09-15,COL-B
1952-09-16,EH-D
1952-09-17,FH-B
1952-09-18,FH-B
1952-09-19,FH-B
1952-09-20,FH-B
1952-09-21,TH-C
1952-09-22,CH-A
1952-09-23,EH-E
1952-09-24,EH-E
1952-09-25,TH-A
1952-09-26,TH-C
1952-09-27,TH-A
1952-09-28,TH-A
1952-09-29,FH-A
1952-09-30,WH-A
1952-10-01,FH-A
1952-10-02,WH-B
1952-10-03,COL-E
1952-10-04,WH-A
1952-10-05,CH-B
1952-10-06,COL-E
1952-10-07,WCT-A
1952-10-08,COL-A
1952-10-09,WH-D
1952-10-10,WH-B
1952-10-11,COL-D
1952-10-12,COL-F
1952-10-13,COL-F
1952-10-14,COL-A
1952-10-15,WH-D
1952-10-16,WH-C
1952-10-17,CH-A
1952-10-18,EH-E
1952-10-19,TH-A
1952-10-20,FH-A
1952-10-21,TH-C
1952-10-22,AM-B
1952-10-23,TH-A
1952-10-24,WCT-B
1952-10-25,COL-C
1952-10-26,COL-C
1952-10-27,COL-C
1952-10-28,COL-C
1952-10-29,COL-A
1952-10-30,COL-A
1952-10-31,COL-A
1952-11-01,FH-A
1952-11-02,WH-D
1952-11-03,COL-A
1952-11-04,COL-C
1952-11-05,WCT-B
1952-11-06,WCT-B
1952-11-07,COL-B
1952-11-08,COL-D
1952-11-09,WH-B
